ts,bot_variant,exchange,trading_pair,state,regime,mid,equity_quote,base_pct,target_base_pct,spread_pct,spread_floor_pct,net_edge_pct,skew,adverse_drift_30s,soft_pause_edge,base_balance,quote_balance,market_spread_pct,market_spread_bps,best_bid_size,best_ask_size,turnover_today_x,cancel_per_min,orders_active,fills_count_today,fees_paid_today_quote,daily_loss_pct,drawdown_pct,risk_reasons,fee_source,maker_fee_pct,taker_fee_pct
2026-02-24T01:14:00.918996+00:00,a,bitget_paper_trade,BTC-USDT,running,high_vol_shock,64266.8650000000,7885.337300000000026756457466,0.1630034646710674028357749765,0.40,0.0001,-0.01726721592528274042987710035,-0.002178050280467982817482829494,0.0030,0.0007180502804679828174828294944,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.556011795503016990170595687E-7,0.001556011795503016990170595687,0.023466,0.71426,0.3398501747279726373793563980,0,346,346,2.679833259194000000000,0.001832195662698930574674048725,0.001850314407499070881281747214,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:15:00.462458+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64330.9950000000,7886.619900000000026783156942,0.1631395853120802769274786306,0.50,0.0001,-0.01873691260433664248518050736,-0.001958111843820962196402889826,0.0030,0.0004981118438209621964028898255,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.554460645292366455703040191E-7,0.001554460645292366455703040191,0.411786,0.381312,0.3557625679853038169712674130,0,362,362,2.805764148348000000000,0.001669837354216296309434520262,0.001687959046144910202068482958,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:16:00.801887+00:00,a,bitget_paper_trade,BTC-USDT,running,high_vol_shock,64156.0150000000,7883.120300000000026710306883,0.1627680729418781066125201342,0.40,0.0001,-0.01873691260433664248518050736,-0.003257840149061252826191489191,0.0030,0.001797840149061252826191489191,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.558700302691805281235126589E-7,0.001558700302691805281235126589,1.694196,0.119429,0.3647056972171286020154479826,0,372,372,2.875018885258000000000,0.002112835277470488477399789046,0.002130948928099549772452655358,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:17:00.237858+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,high_vol_shock,63642.4150000000,7872.848300000000026496477928,0.1616757050939238880307958146,0.40,0.0001,-0.01537142822897647558149809246,-0.001536829647382556103514516443,0.0030,0.00007682964738255610351451644339,True,0.0200000000000000004163336342344337026588618755340576171875,6600,1.571279154004448134157071192E-7,0.001571279154004448134157071192,0.07854,0.459538,0.3659790191806439342039456033,0,374,374,2.881297298992000000000,0.003413119500715162711409173422,0.003431209548581335595685658987,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:18:00.553246+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,63498.2650000000,7869.965300000000026436463435,0.1613686022224265743802514965,0.50,0.0001,-0.01537142822897647558149809246,-0.001838449742968237692256286984,0.0030,0.0003784497429682376922562869845,True,0.0200000000000000004163336342344337026588618755340576171875,6600,1.574846178868036788091769122E-7,0.001574846178868036788091769122,0.00302,1.919194,0.3661130880706678580045663904,0,374,374,2.881297298992000000000,0.003778064926690084422531550224,0.003796148350065855506937678926,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:19:00.125336+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,63887.0350000000,7877.740700000000026598321462,0.1621963388563931816496792159,0.50,0.0001,-0.01667826726293988891964736119,-0.002823164755396409078893571660,0.0030,0.001363164755396409078893571660,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.565262811147833046251089912E-7,0.001565262811147833046251089912,0.223144,0.705278,0.3817157797686841850287101964,0,390,390,3.007057934116000000000,0.002793813568686128032430638341,0.002811914858195326156279005250,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:20:00.661287+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,63789.1950000000,7875.783900000000026557587379,0.1619881799956446268485822896,0.50,0.0001,-0.01667826726293988891964736119,-0.002919868754261244343223816304,0.0030,0.001459868754261244343223816304,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.567663614503992408118647680E-7,0.001567663614503992408118647680,0.929151,0.015676,0.3937957054088292074064825654,0,402,402,3.101449876548000000000,0.003041515687849404759563578716,0.003059612481069037069334139760,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:21:00.081385+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64151.1450000000,7883.022900000000026708279338,0.1627577283836128425253338366,0.50,0.0001,-0.01921299752031418479709020177,-0.001475899697227677351185263974,0.0030,0.00001589969722767735118526397355,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.558818630594980027246590844E-7,0.001558818630594980027246590844,0.185075,0.112577,0.4042058518769493856480306810,0,414,414,3.186363986660000000000,0.002125164685895725166495633506,0.002143278112721329945659712874,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:22:00.958465+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,63983.4950000000,7879.669900000000026638481004,0.1624014604977297364084189343,0.50,0.0001,-0.01921299752031418479709020177,-0.003088233871805176160939722657,0.0030,0.001628233871805176160939722657,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.562903058046454011304008948E-7,0.001562903058046454011304008948,0.827733,0.013315,0.4203498439720171512264135159,0,430,430,3.312218013016000000000,0.002549605203861008724384405498,0.002567710926241134060272277249,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:23:00.484100+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64036.1150000000,7880.722300000000026660388480,0.1625133142935388070110934359,0.50,0.0001,-0.01674245515263793210244552802,-0.001771952555093718936059020736,0.0030,0.0003119525550937189360590207361,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.561618783400585747589465726E-7,0.001561618783400585747589465726,0.338985,0.015617,0.4362605761027767706481832969,0,446,446,3.438048450704000000000,0.002416386831923441048773864584,0.002434494972483829601513475344,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:24:00.208400+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64126.9950000000,7882.539900000000026698224881,0.1627064266430164244844802007,0.50,0.0001,-0.01674245515263793210244552802,-0.001796250701788886470024699695,0.0030,0.0003362507017888864700246996952,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.559405676189879160874449208E-7,0.001559405676189879160874449208,0.581727,0.116679,0.4461393741737989791956359980,0,456,456,3.516711417886000000000,0.002186305386813480000513013985,0.002204417703812909244006825450,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:25:00.997276+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64243.9750000000,7884.879500000000026746927589,0.1629548682386331994532555035,0.50,0.0001,-0.01960713464450229801777033793,-0.002469347308696146729958076555,0.0030,0.001009347308696146729958076555,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.556566199398464992242463204E-7,0.001556566199398464992242463204,0.023351,0.831084,0.4619769568871661244339289886,0,472,472,3.642632636832000000000,0.001890146414003585156481826790,0.001908264106881524303193358310,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:26:00.122342+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64461.0950000000,7889.221900000000026837321948,0.1634155961565740751254169923,0.50,0.0001,-0.01960713464450229801777033793,-0.003430799249327400055071707078,0.0030,0.001970799249327400055071707078,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.551323321454592107068612471E-7,0.001551323321454592107068612471,0.015512,0.919082,0.4776898099732750560838052709,0,488,488,3.768600910248000000000,0.001340462398133484553506520044,0.001358590068877230420910745854,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:27:00.905141+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64373.2250000000,7887.464500000000026800738712,0.1632291974182577965867327380,0.50,0.0001,-0.01904760334179865037483946140,-0.001756774453046313664506808147,0.0030,0.0002967744530463136645068081473,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.553440890991557437117683633E-7,0.001553440890991557437117683633,1.025236,0.097984,0.4937694918791710551301515036,0,504,504,3.894589338380000000000,0.001562923408056594999266653555,0.001581047040687461184710364225,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:28:00.955736+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64476.3250000000,7889.526500000000026843662709,0.1634478951303351376608117790,0.50,0.0001,-0.01904760334179865037483946140,-0.001981470850392410500363733871,0.0030,0.0005214708503924105003637338709,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.550956882235456192641252429E-7,0.001550956882235456192641252429,0.469243,0.077435,0.5076141275672247233561833620,0,518,518,4.004835111216000000000,0.001301904515111645790687277624,0.001320032885758193041456231391,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:29:00.567245+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64490.4350000000,7889.808700000000026849537177,0.1634778166421196020202915010,0.50,0.0001,-0.01902141525228548008485483876,-0.002022557519762932372140012973,0.0030,0.0005625575197629323721400129729,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.550617545066954502632832295E-7,0.001550617545066954502632832295,0.031012,0.28812,0.5195730168593314545192591257,0,530,530,4.099331708702000000000,0.001266182142857007252054348418,0.001284311161936156441055495979,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:30:00.374375+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64432.1050000000,7888.642100000000026825252436,0.1633541088142406691822458558,0.50,0.0001,-0.01902141525228548008485483876,-0.001947872566134461557386960741,0.0030,0.0004878725661344615573869607408,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.552021309873393085636423022E-7,0.001552021309873393085636423022,0.713819,0.261274,0.5316264487642302831483489801,0,542,542,4.193810785195000000000,0.001413856556295211784900468735,0.001431982894787991657311689721,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:31:00.166745+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64490.6850000000,7889.813700000000026849641260,0.1634783467700891368905588094,0.50,0.0001,-0.01919140541052729327670008757,-0.001773321669598111445881010512,0.0030,0.0003133216695981114458810105120,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.550611534053328786940315489E-7,0.001550611534053328786940315489,0.031024,0.361508,0.5415326058859919576377378596,0,552,552,4.272591372916000000000,0.001265549216346471487727046394,0.001283678246914504481445277474,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
